Date,SPX,TPX,SX5E
2020/12/14,3647.49,1775.25,3545.74
2020/12/11,3663.46,1773.97,3560.87
2020/12/10,3668.1,1768.38,3543
2020/12/9,3672.82,1754.92,3521.5
2020/12/8,3702.25,1786.52,3503.96
2020/12/7,3691.96,1778.25,3485.84
2020/12/4,3699.12,1767.67,3522.31
2020/12/3,3666.72,1762.4,3529.02
2020/12/2,3669.01,1727.39,3525.87
2020/12/1,3662.45,1726.41,3530.08
2020/11/30,3621.63,1720.65,3539.27
2020/11/27,3638.35,1734.66,3517.1
2020/11/25,3629.65,1731.81,3521.32
2020/11/24,3635.41,1703.22,3525.24
2020/11/23,3577.59,1726.23,3492.54
2020/11/20,3557.54,1729.07,3527.79
2020/11/19,3581.87,1700.8,3510.94
2020/11/18,3567.79,1681.9,3511.9
2020/11/17,3609.53,1658.49,3507.98
2020/11/16,3626.91,1649.94,3463.04
2020/11/13,3585.15,1627.25,3467.6
2020/11/12,3537.01,1607.95,3451.97
2020/11/11,3572.66,1579.33,3482.17
2020/11/10,3545.53,1610.93,3468.48
2020/11/9,3550.5,1612.55,3466.21
2020/11/6,3509.44,1617.53,3432.07
2020/11/5,3510.45,1618.98,3428.2
2020/11/4,3443.44,1625.32,3467.3
2020/11/3,3369.16,1619.79,3442.62
2020/11/2,3310.24,1637.6,3407.91
2020/10/30,3269.96,1625.74,3204.05
2020/10/29,3310.11,1637.98,3215.56
2020/10/28,3271.03,1617.69,3161.07
2020/10/27,3390.68,1631.79,3098.72
2020/10/26,3400.97,1643.9,3019.54
2020/10/23,3465.39,1649.1,2958.21
2020/10/22,3453.49,1643.35,2960.03
2020/10/21,3435.56,1647.38,2963.54
2020/10/20,3443.12,1655.47,3070.6
2020/10/19,3426.92,1646.47,3105.25
2020/10/16,3483.81,1645.75,3198.86
2020/10/15,3483.34,1637.25,3171.41
2020/10/14,3488.67,1609.22,3180.7
2020/10/13,3511.93,1625.49,3227.87
2020/10/12,3534.22,1625.49,3242.51
2020/10/9,3477.13,1658.1,3245.47
2020/10/8,3446.83,1661.93,3192.69
2020/10/7,3419.45,1634.23,3273.28
2020/10/6,3360.95,1626.44,3279.19
2020/10/5,3408.63,1644.25,3298.12
2020/10/2,3348.44,1646.42,3273.12
2020/10/1,3380.8,1638.4,3255.76
2020/9/30,3363,1644.35,3233.43
2020/9/29,3335.47,1640.84,3233.3
2020/9/28,3351.6,1651.1,3220.22
2020/9/25,3298.46,1636.64,3190.93
2020/9/24,3246.59,1624.86,3194.09
2020/9/23,3236.92,1605.4,3193.61
2020/9/22,3315.57,1620.89,3214.3
2020/9/21,3281.06,1609.74,3223.19
2020/9/18,3319.47,1616.6,3137.06
2020/9/17,3357.01,1631.24,3159.64
2020/9/16,3385.49,1623.4,3180.11
2020/9/15,3401.2,1615.81,3164.13
2020/9/14,3383.54,1618.18,3160.95
2020/9/11,3340.97,1604.87,3283.69
2020/9/10,3339.19,1615.89,3316.57
2020/9/9,3398.96,1624.48,3338.84
2020/9/8,3331.84,1625.23,3332.26
2020/9/4,3426.96,1607.13,3316.79
2020/9/3,3455.06,1604.06,3315.81
2020/9/2,3580.84,1599.2,3312.77
2020/9/1,3526.65,1613.73,3324.83
2020/8/31,3500.31,1610.85,3267.37
2020/8/28,3508.01,1609.82,3314.07
2020/8/27,3484.55,1623.38,3260.59
2020/8/26,3478.73,1624.15,3304.22
2020/8/25,3443.62,1605.53,3337.77
2020/8/24,3431.28,1585.96,3277.58
2020/8/21,3397.16,1546.74,3272.51
2020/8/20,3385.51,1549.88,3315.54
2020/8/19,3374.85,1554.71,3331.04
2020/8/18,3389.78,1555.26,3356.76
2020/8/17,3381.99,1522.64,3329.71
2020/8/14,3372.85,1496.06,3331.74
2020/8/13,3373.43,1539.47,3259.75
2020/8/12,3380.35,1549.04,3273.98
2020/8/11,3333.69,1569.12,3317.62
2020/8/10,3360.47,1576.69,3289.64
2020/8/7,3351.28,1572.96,3305.85
2020/8/6,3349.16,1582.74,3305.05
2020/8/5,3327.77,1577.03,3342.85
2020/8/4,3306.51,1573.85,3363.18
2020/8/3,3294.61,1579.06,3332.12
2020/7/31,3271.12,1589.51,3259.71
2020/7/30,3246.22,1565.15,3252.65
2020/7/29,3258.44,1573.02,3240.39
2020/7/28,3218.44,1535.2,3268.38
2020/7/27,3239.41,1557.24,3254.29
2020/7/24,3215.63,1557.23,3248.28
2020/7/23,3235.66,1571.71,3174.32
2020/7/22,3276.02,1577.15,3208.2
2020/7/21,3257.3,1552.33,3300.16
2020/7/20,3251.84,1542.76,3303.56
2020/7/17,3224.73,1538.61,3302.84
2020/7/16,3215.57,1558.77,3310.89
2020/7/15,3226.56,1549.22,3371.74
2020/7/14,3197.52,1577.37,3370.76
2020/7/13,3155.22,1561.85,3405.35
2020/7/10,3185.04,1580.5,3388.34
2020/7/9,3152.05,1587.14,3365.6
2020/7/8,3169.94,1579.09,3365.35
2020/7/7,3145.32,1582.8,3378.21
2020/7/6,3179.72,1583.09,3321.39
2020/7/2,3130.01,1587.09,3350
2020/7/1,3115.86,1593.45,3296.22
2020/6/30,3100.29,1530.78,3261.17
2020/6/29,3053.24,1570.68,3286.09
2020/6/26,3009.05,1588.92,3321.56
2020/6/25,3083.76,1624.71,3350.03
2020/6/24,3050.33,1628.43,3294.38
2020/6/23,3131.29,1630.72,3320.09
2020/6/22,3117.86,1612.48,3228.45
2020/6/19,3097.74,1603.82,3234.07
2020/6/18,3115.34,1599.08,3232.02
2020/6/17,3113.49,1587.68,3204.17
2020/6/16,3124.74,1568.75,3218.91
2020/6/15,3066.59,1563.67,3196.12
2020/6/12,3041.31,1577.34,3298.83
2020/6/11,3002.1,1549.47,3241.69
2020/6/10,3190.14,1534.73,3269.1
2020/6/9,3207.18,1502.2,3249.9
2020/6/8,3232.39,1477.8,3267.26
2020/6/5,3193.93,1491.21,3242.65
2020/6/4,3112.35,1494.69,3136.4
2020/6/3,3122.87,1486.05,3153.74
2020/6/2,3080.82,1459.29,3144.57
2020/6/1,3055.73,1453.77,3293.71
2020/5/29,3044.31,1446.55,3320.71
2020/5/28,3029.73,1474.69,3366.29
2020/5/27,3036.13,1476.72,3384.29
2020/5/26,2991.77,1480.62,3261.67
2020/5/22,2955.45,1458.28,3269.59
2020/5/21,2948.51,1426.73,3159.02
2020/5/20,2971.61,1431.26,3077.92
2020/5/19,2922.94,1464.03,3050.2
2020/5/18,2953.91,1449.15,3094.47
2020/5/15,2863.7,1447.25,3051.08
2020/5/14,2852.5,1421.29,2999.22
2020/5/13,2820,1425.98,2971.35
2020/5/12,2870.12,1406.9,2905.47
2020/5/11,2930.32,1415.89,2904.98
2020/5/8,2929.8,1432.41,2942.39
2020/5/7,2881.19,1442.54,2902.58
2020/5/6,2848.42,1422.24,2911.88
2020/5/5,2868.44,1434.07,2770.7
2020/5/4,2842.74,1433.51,2760.23
2020/5/1,2830.71,1405.91,2810.55
2020/4/30,2912.43,1430.04,2884.2
2020/4/29,2939.51,1416.98,2883.75
2020/4/28,2863.39,1425.47,2908.11
2020/4/27,2878.48,1403.21,2880.6
2020/4/24,2836.74,1376.3,2843.76
2020/4/23,2797.8,1325.13,2875.91
2020/4/22,2799.31,1329.87,2816.48
2020/4/21,2736.56,1351.08,2927.93
2020/4/20,2823.16,1403.04,2927.93
2020/4/17,2874.56,1435.54,2996.08
2020/4/16,2799.55,1459.49,2932.06
2020/4/15,2783.36,1399.32,2882.09
2020/4/14,2846.06,1424.62,2809.07
2020/4/13,2761.63,1333.1,2852.46
2020/4/9,2789.82,1292.01,2834.9
2020/4/8,2749.98,1283.22,2791.34
2020/4/7,2659.41,1270.84,2909.5
2020/4/6,2663.68,1268.46,2888.3
2020/4/3,2488.65,1236.34,2812.35
2020/4/2,2526.9,1261.7,2808.2
2020/4/1,2470.5,1327.88,2917.74
2020/3/31,2584.59,1385.12,2892.79
2020/3/30,2626.65,1406.68,2851.27
2020/3/27,2541.47,1388.97,2857.67
2020/3/26,2630.07,1471.46,2795.97
2020/3/25,2475.56,1515.71,2662.99
2020/3/24,2447.33,1502.5,2688.49
2020/3/23,2237.4,1505.12,2680.3
2020/3/20,2304.92,1525.87,2786.9
2020/3/19,2409.39,1510.87,2765.62
2020/3/18,2398.1,1568.06,2728.65
2020/3/17,2529.19,1606.17,2847.78
2020/3/16,2386.13,1618.26,2800.14
2020/3/13,2711.02,1674,2715.11
2020/3/12,2480.64,1674.48,2485.54
2020/3/11,2741.38,1671.86,2548.5
2020/3/10,2882.23,1665.71,2454.08
2020/3/9,2746.56,1687.77,2385.82
2020/3/6,2972.37,1702.87,2530.5
2020/3/5,3023.94,1713.08,2450.37
