,Date,SX5E,Value
187,1990/9/28,-1.7806225977328858,-0.047290504
188,1990/10/1,-1.7794234542615615,-0.047149733
189,1990/10/2,-1.7791309802441653,-0.047102794
190,1990/10/3,-1.785263185475572,-0.047055855
191,1990/10/4,-1.7836253309781536,-0.047009066
192,1990/10/5,-1.7748608595901807,-0.04696217
193,1990/10/8,-1.7833133586929308,-0.046821505
194,1990/10/9,-1.7860528653225416,-0.046774715
195,1990/10/10,-1.793569447569624,-0.04672785
196,1990/10/11,-1.790128003298262,-0.046681
197,1990/10/12,-1.7936669389087558,-0.046634197
198,1990/10/15,-1.7918341017330732,-0.046493724
199,1990/10/16,-1.7833913517642364,-0.046446905
200,1990/10/17,-1.777795348898056,-0.046400204
201,1990/10/18,-1.778653272682418,-0.046353415
202,1990/10/19,-1.7776393627554448,-0.04630661
203,1990/10/22,-1.7750363440006185,-0.046166435
204,1990/10/23,-1.771750885871868,-0.046119675
205,1990/10/24,-1.767870730574412,-0.046072945
206,1990/10/25,-1.764097815750001,-0.04602623
207,1990/10/26,-1.7540269604176586,-0.045979515
208,1990/10/29,-1.7515799278054438,-0.045839503
209,1990/10/30,-1.7552553512907227,-0.045792058
210,1990/10/31,-1.7483919610158254,-0.045745462
211,1990/11/1,-1.7538319777393945,-0.045698777
212,1990/11/2,-1.756269261217696,-0.045652077
213,1990/11/5,-1.7570004462611866,-0.0455122
214,1990/11/6,-1.7496593484245422,-0.045465574
215,1990/11/7,-1.758024105322073,-0.045418933
216,1990/11/8,-1.760276155256024,-0.045372322
217,1990/11/9,-1.752340360250674,-0.04532571
218,1990/11/12,-1.7581215966612054,-0.04518597
219,1990/11/13,-1.761465549593435,-0.045139357
220,1990/11/14,-1.7697815608214003,-0.045092836
221,1990/11/15,-1.7742369150197357,-0.045046285
222,1990/11/16,-1.7658136633187251,-0.044999704
223,1990/11/19,-1.7783997952006747,-0.04486008
224,1990/11/20,-1.77747362747892,-0.04481359
225,1990/11/21,-1.7838105645225042,-0.04476711
226,1990/11/23,-1.7838788084598967,-0.044674113
227,1990/11/26,-1.7953340408079141,-0.044534698
228,1990/11/27,-1.7942128904078956,-0.044488207
229,1990/11/28,-1.797391108063601,-0.044441774
230,1990/11/29,-1.8049661851141623,-0.044395313
231,1990/11/30,-1.8067600257541925,-0.044348925
232,1990/12/3,-1.7987462376775365,-0.044209644
233,1990/12/4,-1.8110203972742636,-0.044163257
234,1990/12/5,-1.80207069234194,-0.044116825
235,1990/12/6,-1.792292311026994,-0.044070482
236,1990/12/7,-1.798911972954061,-0.044024065
237,1990/12/10,-1.8002281060323437,-0.043884993
238,1990/12/11,-1.796299205065322,-0.043838635
239,1990/12/12,-1.7959482362444463,-0.043792307
240,1990/12/13,-1.802548399903687,-0.04374598
241,1990/12/14,-1.8019147061993286,-0.04369968
242,1990/12/17,-1.796455191207933,-0.0435607
243,1990/12/18,-1.7952950442722615,-0.0435144
244,1990/12/19,-1.7915611259835034,-0.043468103
245,1990/12/20,-1.7940276568635447,-0.04342182
246,1990/12/21,-1.7958214975035744,-0.043375567
247,1990/12/24,-1.801466246039321,-0.043236792
248,1990/12/26,-1.8020024484045476,-0.04314433
249,1990/12/27,-1.7982587809818762,-0.043098092
250,1990/12/28,-1.797488599402733,-0.04305181
251,1990/12/31,-1.794749092773122,-0.042913213
252,1991/1/2,-1.7972058745192498,-0.042820886
253,1991/1/3,-1.7962212119940162,-0.042774662
254,1991/1/4,-1.8023729154932495,-0.04272853
255,1991/1/7,-1.7924677954374315,-0.042590052
256,1991/1/8,-1.7938326741852804,-0.042543903
257,1991/1/9,-1.7950025702548653,-0.04249783
258,1991/1/10,-1.7977225786166497,-0.04245165
259,1991/1/11,-1.7897575362095604,-0.042405546
260,1991/1/14,-1.786530572884289,-0.042267263
261,1991/1/15,-1.7858286352425379,-0.042221144
262,1991/1/16,-1.7848147253155644,-0.042175114
263,1991/1/17,-1.8549109981515188,-0.04212901
264,1991/1/18,-1.8347790366207475,-0.04208292
265,1991/1/21,-1.8153392635978138,-0.04194486
266,1991/1/22,-1.7949733228531257,-0.041898742
267,1991/1/23,-1.7915318785817638,-0.041852757
268,1991/1/24,-1.7840932894059875,-0.041806728
269,1991/1/25,-1.7853996733503568,-0.041760698
270,1991/1/28,-1.7871642665886474,-0.041622683
271,1991/1/29,-1.784454007360776,-0.04157673
272,1991/1/30,-1.7822019574268253,-0.0415307
273,1991/1/31,-1.782045971284214,-0.041484743
274,1991/2/1,-1.779452701663301,-0.041438773
275,1991/2/4,-1.7800961445015726,-0.041300982
276,1991/2/5,-1.779228471583297,-0.041255012
277,1991/2/6,-1.7812757897050704,-0.0412091
278,1991/2/7,-1.78695953477647,-0.041163206
279,1991/2/8,-1.7924677954374315,-0.041117236
280,1991/2/11,-1.7952170512009558,-0.04097952
281,1991/2/12,-1.7916586173226354,-0.040933713
282,1991/2/13,-1.7897770344773867,-0.040887833
283,1991/2/14,-1.7888898632912849,-0.040841922
284,1991/2/15,-1.7890068528982435,-0.040796027
285,1991/2/19,-1.7861113601260208,-0.040612653
286,1991/2/20,-1.7871350191869078,-0.040566802
287,1991/2/21,-1.7861796040634135,-0.04052107
288,1991/2/22,-1.789426065656511,-0.040475205
289,1991/2/25,-1.784551498699908,-0.040337816
290,1991/2/26,-1.788373159193885,-0.04029201
291,1991/2/27,-1.7892018355765074,-0.040246204
292,1991/2/28,-1.7926140324461297,-0.040200457
293,1991/3/1,-1.79158062425133,-0.04015468
294,1991/3/4,-1.7905569651904432,-0.04001744
295,1991/3/5,-1.7932184787487484,-0.039971724
296,1991/3/6,-1.7959969819140122,-0.039925978
297,1991/3/7,-1.8008228032010496,-0.039880246
298,1991/3/8,-1.8034160728219624,-0.039834484
299,1991/3/11,-1.8040205191245813,-0.039697394
300,1991/3/12,-1.8100844804185956,-0.03965172
301,1991/3/13,-1.8072767298515922,-0.03960602
302,1991/3/14,-1.808271141510739,-0.039560333
303,1991/3/15,-1.8075887021368149,-0.039514676
304,1991/3/18,-1.7980248017679594,-0.039377704
305,1991/3/19,-1.7992044469714574,-0.039332077
306,1991/3/20,-1.7998381406758157,-0.03928642
307,1991/3/21,-1.7987072411418836,-0.039240733
308,1991/3/22,-1.7985902515349252,-0.03919518
309,1991/3/25,-1.795041566790518,-0.039058343
310,1991/3/26,-1.7955290234861785,-0.039012715
311,1991/3/27,-1.8003548447732156,-0.038967088
312,1991/3/28,-1.805570631416781,-0.03892155
313,1991/4/1,-1.7964356929401066,-0.038739294
314,1991/4/2,-1.795509525218352,-0.038693756
315,1991/4/3,-1.7978980630270875,-0.03864813
316,1991/4/4,-1.7953535390757407,-0.03860265
317,1991/4/5,-1.7995261683905932,-0.038557127
318,1991/4/8,-1.8034258219558756,-0.038420558
319,1991/4/9,-1.7995261683905932,-0.038375035
320,1991/4/10,-1.804001020856755,-0.038329557
321,1991/4/11,-1.799857638943642,-0.038284063
322,1991/4/12,-1.7887728736843262,-0.038238525
323,1991/4/15,-1.7888996124251981,-0.03810209
324,1991/4/16,-1.7838105645225042,-0.038056687
325,1991/4/17,-1.7818509886059497,-0.038011253
326,1991/4/18,-1.778409544334588,-0.03796576
327,1991/4/19,-1.7771324077919577,-0.03792034
328,1991/4/22,-1.7956265148253105,-0.0377841
329,1991/4/23,-1.8055413840150416,-0.037738636
330,1991/4/24,-1.803962024321102,-0.037693188
331,1991/4/25,-1.8056681227559133,-0.0376478
332,1991/4/26,-1.8043227422758907,-0.03760238
333,1991/4/29,-1.8098699994725052,-0.037466228
334,1991/4/30,-1.803923027785449,-0.037420884
335,1991/5/1,-1.8071597402446338,-0.037375495
336,1991/5/2,-1.807598451270728,-0.037330136
