t,H=0.9,H=0.8,H=0.7
0.232,0.99279646,1.012365701,1.000652994
0.233,0.992653263,1.012902451,1.000610998
0.234,0.99252893,1.013305295,1.000824522
0.235,0.992324925,1.013978022,1.001638968
0.236,0.992380808,1.014289134,1.001798914
0.237,0.992087146,1.014624289,1.002381698
0.238,0.991764328,1.015349354,1.002728887
0.239,0.991653259,1.015965496,1.00279823
0.24,0.991478906,1.016627603,1.002669482
0.241,0.991303942,1.016056447,1.002750587
0.242,0.991051857,1.016295913,1.002182634
0.243,0.990849119,1.016538374,1.001928497
0.244,0.990957432,1.017342253,1.002747864
0.245,0.990955439,1.017867854,1.003196811
0.246,0.990934367,1.018403287,1.004690409
0.247,0.990542325,1.018952278,1.005656442
0.248,0.990421946,1.019025321,1.00688786
0.249,0.990258331,1.018818753,1.007520983
0.25,0.989753027,1.019285583,1.00727181
0.251,0.989555524,1.020089036,1.008395479
0.252,0.989362775,1.020302994,1.009013488
0.253,0.989211109,1.020292861,1.009097739
0.254,0.988939919,1.019753864,1.009169242
0.255,0.988587876,1.020178873,1.009028031
0.256,0.988283892,1.020185985,1.00940749
0.257,0.9882176,1.019662241,1.009823878
0.258,0.988290323,1.018966737,1.009919669
0.259,0.988197229,1.018888181,1.008471331
0.26,0.988033845,1.018886571,1.009221166
0.261,0.987914282,1.018866494,1.009122004
0.262,0.987492382,1.019158081,1.009203418
0.263,0.987171167,1.019358548,1.008446447
0.264,0.986877491,1.019555553,1.007228954
0.265,0.986708314,1.01949345,1.006176552
0.266,0.986671946,1.019524377,1.004820526
0.267,0.986646122,1.019838243,1.004992236
0.268,0.986561314,1.019861765,1.004250471
0.269,0.986641866,1.019809058,1.003782266
0.27,0.986819081,1.019237633,1.003661561
0.271,0.986932184,1.01915155,1.003176281
0.272,0.986751692,1.018905198,1.003258487
0.273,0.986643661,1.019325133,1.003104419
0.274,0.986560991,1.019098538,1.002490764
0.275,0.986523724,1.019107629,1.002990618
0.276,0.986334649,1.019528359,1.001821035
0.277,0.986262477,1.01930556,1.001860998
0.278,0.986255347,1.01865597,1.001307673
0.279,0.986179991,1.018204854,1.000576885
0.28,0.986221291,1.018512271,1.000670238
0.281,0.986233294,1.018764723,0.99939987
0.282,0.986313353,1.01890539,0.999591161
0.283,0.986027406,1.019289692,0.99882483
0.284,0.985655989,1.019362473,0.999234601
0.285,0.985279141,1.019715672,0.99818339
0.286,0.985069961,1.019899064,0.998250201
0.287,0.98493121,1.019996483,0.998169321
0.288,0.984997472,1.019908456,0.998209438
0.289,0.984969757,1.019920818,0.998333209
0.29,0.984839541,1.02007488,0.998753678
0.291,0.984655778,1.020569898,0.999474986
0.292,0.984518634,1.020436274,0.999753185
0.293,0.984389859,1.020084208,0.998560998
0.294,0.984165094,1.019941464,0.998662584
0.295,0.983904814,1.02007663,0.998806745
0.296,0.983724325,1.019849813,0.999269742
0.297,0.983558451,1.019825569,0.998095625
0.298,0.983616814,1.019523642,0.997385809
0.299,0.983440829,1.019023589,0.997136282
0.3,0.983139892,1.018844355,0.997065228
0.301,0.98289476,1.018672066,0.997032816
0.302,0.982484408,1.018942829,0.996984007
0.303,0.982211016,1.019340667,0.996196613
0.304,0.981914319,1.020013956,0.997106341
0.305,0.9818096,1.019728796,0.998298099
0.306,0.981693709,1.019632812,0.997648586
0.307,0.981469132,1.019965343,0.997174274
0.308,0.981364204,1.02032803,0.995318916
0.309,0.981118961,1.019786416,0.994362111
0.31,0.980951282,1.0191484,0.995387432
0.311,0.980884256,1.018679271,0.9953523
0.312,0.980671015,1.018394708,0.994520577
0.313,0.980538137,1.018703888,0.994548419
0.314,0.980553535,1.018792232,0.994490884
0.315,0.980611652,1.019000257,0.994261025
0.316,0.980391355,1.018534848,0.995313217
0.317,0.98012319,1.018294456,0.996359046
0.318,0.980138273,1.018567288,0.995555316
0.319,0.980147165,1.018241468,0.994467656
0.32,0.980108877,1.018216563,0.9942566
0.321,0.979867359,1.01777658,0.994146119
0.322,0.979551767,1.017291974,0.992860459
0.323,0.979039159,1.016683128,0.992268049
0.324,0.978820134,1.016295904,0.992041368
0.325,0.978544475,1.016164593,0.99236215
0.326,0.978369208,1.016092471,0.992294802
0.327,0.978298811,1.016219012,0.991939928
0.328,0.978255632,1.016163514,0.991971898
0.329,0.978139643,1.016396727,0.992216083
0.33,0.978132269,1.015819553,0.991939452
0.331,0.978251493,1.015471607,0.991879854
0.332,0.978252476,1.015114639,0.99169876
0.333,0.978361342,1.014349475,0.991160506
0.334,0.978273826,1.013267545,0.989756155
0.335,0.978207093,1.012242079,0.990369727
0.336,0.978186881,1.011970114,0.990245027
0.337,0.978140541,1.012371299,0.991032894
0.338,0.978036297,1.012158144,0.992099398
0.339,0.977941547,1.012086508,0.992979222
0.34,0.977763746,1.01181366,0.992432074
0.341,0.977677043,1.011799345,0.992495649
0.342,0.977615639,1.011906273,0.99380204
0.343,0.977561907,1.012088893,0.993634295
0.344,0.977334496,1.012200788,0.993580558
0.345,0.977260351,1.01259367,0.993071386
0.346,0.977005874,1.01321587,0.993399567
0.347,0.976767601,1.013532063,0.993914026
0.348,0.976666511,1.013412626,0.993275867
0.349,0.97659648,1.014063688,0.993028591
0.35,0.976627764,1.01414489,0.991702956
0.351,0.976540996,1.014225862,0.991649721
0.352,0.976528377,1.014035117,0.989631503
0.353,0.976330582,1.014409272,0.989691073
0.354,0.976388518,1.01419186,0.989638767
0.355,0.976327974,1.013511117,0.98876647
0.356,0.976269791,1.013306852,0.987656555
0.357,0.976087068,1.013140617,0.98704954
0.358,0.975958373,1.012620179,0.986521138
0.359,0.976029347,1.012769916,0.986318569
0.36,0.976014888,1.012848922,0.985425373
0.361,0.975929473,1.012616196,0.985089875
0.362,0.975900436,1.012977762,0.984542116
0.363,0.975823822,1.013217175,0.984439638
0.364,0.975607003,1.013274376,0.984594896
0.365,0.975423111,1.013292846,0.983763393
0.366,0.975223831,1.013250157,0.983461935
0.367,0.975064955,1.013294291,0.982365422
0.368,0.975040898,1.013216617,0.982212022
0.369,0.975159079,1.012803118,0.980731119
0.37,0.975279788,1.01223978,0.980759043
0.371,0.975322013,1.011278348,0.981215333
0.372,0.975274773,1.010970708,0.981968498
0.373,0.97518793,1.010702647,0.982537625
0.374,0.974970204,1.010499001,0.983098984
0.375,0.974871845,1.010622863,0.982220828
0.376,0.974721225,1.010386304,0.981966894
0.377,0.974508124,1.010299691,0.981254813
0.378,0.974231437,1.01033031,0.981879069
0.379,0.97417306,1.010646538,0.981577817
0.38,0.974064027,1.010571608,0.981572084
0.381,0.973971817,1.01086876,0.980551922
0.382,0.973903133,1.011212366,0.981016267
0.383,0.97374845,1.011216163,0.979823241
0.384,0.973642282,1.011543059,0.978994791
0.385,0.97369493,1.01143265,0.978769918
0.386,0.973576522,1.010881715,0.978100349
0.387,0.973507624,1.010686442,0.978180494
0.388,0.973510173,1.010812526,0.977779391
0.389,0.97347676,1.010880929,0.978546895
0.39,0.973377223,1.010766967,0.978758381
0.391,0.973400527,1.011020996,0.978223273
0.392,0.973417757,1.011296702,0.978525192
0.393,0.973140165,1.01173107,0.977437869
0.394,0.973014216,1.012456736,0.977061519
0.395,0.973201204,1.01285024,0.977315299
0.396,0.973156225,1.013354354,0.976413065
0.397,0.973210491,1.013455044,0.975751098
0.398,0.973137021,1.013776931,0.975386413
0.399,0.973146607,1.013973384,0.97531348
0.4,0.973184197,1.013606356,0.97561928
0.401,0.973323072,1.013713769,0.975130977
0.402,0.973273489,1.014066172,0.975383997
0.403,0.973443215,1.01416655,0.975276834
0.404,0.973412211,1.014174899,0.975395004
0.405,0.973451638,1.014291853,0.975553121
0.406,0.97351516,1.01412191,0.976292684
0.407,0.973436905,1.014507258,0.977234229
0.408,0.973669844,1.014681512,0.977802987
0.409,0.973671287,1.014925115,0.977779779
0.41,0.973473361,1.014865762,0.977668987
0.411,0.973457503,1.014369342,0.97678612
0.412,0.973377518,1.014091183,0.978129936
0.413,0.973298876,1.013933962,0.977452887
0.414,0.973357446,1.013425137,0.977432944
0.415,0.973337199,1.013435995,0.976917323
0.416,0.973326421,1.013178346,0.975815642
0.417,0.97355951,1.013326655,0.974698426
0.418,0.973647145,1.013404702,0.974848653
0.419,0.973656275,1.012986057,0.97409944
0.42,0.973678989,1.012272015,0.973951411
0.421,0.973689108,1.011879568,0.974376815
0.422,0.973670744,1.011556279,0.974837884
0.423,0.97359338,1.011675749,0.975265271
0.424,0.973476778,1.011573416,0.975039486
0.425,0.973358785,1.010662788,0.97474521
0.426,0.973455663,1.009554328,0.974915214
0.427,0.973590395,1.008608032,0.975001019
0.428,0.97345174,1.007719963,0.975268753
0.429,0.973378792,1.006786118,0.975137804
0.43,0.973065616,1.005908309,0.975276865
0.431,0.973283004,1.005055633,0.975208598
0.432,0.973479094,1.004553766,0.974416177
0.433,0.973354951,1.004320544,0.974677861
0.434,0.973352775,1.003862285,0.974639717
0.435,0.973219869,1.003457599,0.974712178
0.436,0.973049031,1.002752993,0.974872864
0.437,0.972988293,1.002992166,0.975631165
0.438,0.973008898,1.003204255,0.974446855
0.439,0.972963952,1.003548215,0.974363996
0.44,0.973178554,1.003332743,0.974113687
0.441,0.973213733,1.00308111,0.975247898
0.442,0.973162544,1.00339486,0.974202166
0.443,0.973149113,1.004247004,0.973991738
0.444,0.973104705,1.004236995,0.974953728
0.445,0.972930155,1.004214406,0.973236199
0.446,0.972858132,1.004249955,0.973146011
0.447,0.972598641,1.004688005,0.972817541
0.448,0.972386373,1.004714261,0.973301335
0.449,0.97216575,1.005013138,0.97325771
0.45,0.972193218,1.005203028,0.974683511
0.451,0.972306946,1.005385408,0.976152238
0.452,0.972502158,1.006080739,0.976662583
0.453,0.972607011,1.006549271,0.977853289
0.454,0.972492491,1.007325928,0.978004272
0.455,0.97262583,1.007919617,0.978198332
0.456,0.972623255,1.008752243,0.977922739
0.457,0.97268245,1.009294076,0.978521429
0.458,0.97255526,1.009790758,0.97954374
0.459,0.972328659,1.010128495,0.980105767
0.46,0.972229899,1.010314932,0.980331779
0.461,0.972509881,1.010786922,0.981358319
0.462,0.972722816,1.011441271,0.981360451
0.463,0.972891626,1.011565902,0.980407625
0.464,0.972893697,1.0116263,0.98022115
0.465,0.972888443,1.011702948,0.980423504
0.466,0.972973279,1.012051769,0.978913075
0.467,0.973025862,1.012176745,0.979823782
0.468,0.973080787,1.012150115,0.979056554
0.469,0.973061023,1.012258827,0.978626109
0.47,0.972865138,1.012317842,0.979011827
0.471,0.972946378,1.012575389,0.979971904
0.472,0.972927985,1.01300392,0.980614524
0.473,0.973029202,1.013034651,0.980962393
0.474,0.973247637,1.012977876,0.980448128
0.475,0.973289553,1.013155884,0.979994474
0.476,0.973224786,1.013668394,0.980221012
0.477,0.973220731,1.014900742,0.981526621
0.478,0.973176454,1.015513236,0.981511903
0.479,0.972999995,1.015847267,0.981436802
0.48,0.97285936,1.016439991,0.98036518
0.481,0.972983801,1.01690355,0.979985415
0.482,0.973024803,1.017065906,0.979300269
0.483,0.972920054,1.017120989,0.980090564
0.484,0.972902181,1.017772931,0.979532424
0.485,0.972846948,1.018273406,0.97868757
0.486,0.973064985,1.01801607,0.977355326
0.487,0.973162899,1.01794528,0.976485915
0.488,0.973385995,1.017845634,0.976864326
0.489,0.973548351,1.017339229,0.976781854
0.49,0.973741802,1.017502449,0.976512097
0.491,0.9737285,1.017367494,0.976606351
0.492,0.973727287,1.017675423,0.976464238
0.493,0.973854745,1.017316744,0.978385221
0.494,0.974031328,1.017192277,0.97910573
0.495,0.973952741,1.017199832,0.980695417
0.496,0.973852812,1.017394692,0.981096801
0.497,0.973996531,1.016831577,0.982349899
0.498,0.974045633,1.016226453,0.982112354
0.499,0.974210769,1.015966372,0.982012468
0.5,0.974261532,1.015675535,0.982413005
0.501,0.974198659,1.014991354,0.982610952
0.502,0.974268537,1.014828494,0.983620487
0.503,0.974139363,1.014238369,0.983695658
0.504,0.974086285,1.01381838,0.985031473
0.505,0.974175316,1.013183834,0.985898878
0.506,0.974118835,1.012614594,0.98644967
0.507,0.974124992,1.012050049,0.986594103
0.508,0.973976051,1.011751594,0.98786504
0.509,0.97386666,1.011316058,0.987945089
0.51,0.97388473,1.010859533,0.988256493
0.511,0.973885364,1.010526122,0.988435381
0.512,0.973698817,1.010217231,0.989098854
0.513,0.973577366,1.00981044,0.989395669
0.514,0.973437964,1.009500638,0.988222789
0.515,0.97358254,1.009760994,0.988510392
0.516,0.973662958,1.009583381,0.988350913
0.517,0.973450569,1.009547026,0.98759947
0.518,0.973389764,1.009426133,0.987659104
0.519,0.973202515,1.008390433,0.98804328
0.52,0.973079336,1.008184227,0.987251542
0.521,0.973001813,1.007979319,0.987161081
0.522,0.972783878,1.007821762,0.987401592
0.523,0.972566792,1.007996864,0.987263271
0.524,0.972456591,1.007786938,0.986149982
0.525,0.972383033,1.007517338,0.98550553
0.526,0.972174768,1.008005187,0.985605001
0.527,0.97187955,1.00828411,0.984633068
0.528,0.971634872,1.008072266,0.984218808
0.529,0.971647383,1.008120099,0.983835414
0.53,0.971743738,1.007709776,0.982706705
0.531,0.971715893,1.007498332,0.981206474
0.532,0.971608055,1.007643221,0.980934902
0.533,0.971427036,1.007124994,0.980041832
0.534,0.97123423,1.006542458,0.980557087
0.535,0.970967243,1.006614694,0.980242173
0.536,0.970756552,1.00668697,0.98042023
0.537,0.970480869,1.006676394,0.980952853
0.538,0.970260572,1.006817508,0.980792332
0.539,0.970033341,1.007299654,0.980600507
0.54,0.969767983,1.007358668,0.980963845
0.541,0.969547735,1.007554354,0.979670013
0.542,0.969330811,1.00726438,0.978596166
0.543,0.968905888,1.007497877,0.97774605
0.544,0.968544265,1.007328715,0.976029776
0.545,0.968210859,1.007245256,0.977026192
0.546,0.967928146,1.007338148,0.976578505
0.547,0.967777515,1.007718796,0.975635836
0.548,0.967676706,1.007469261,0.976047965
0.549,0.967409927,1.006773771,0.975329904
0.55,0.967494865,1.006436739,0.976146985
0.551,0.967428416,1.006824117,0.976951337
0.552,0.967329192,1.006845025,0.976859746
0.553,0.967359614,1.006850778,0.976642052
0.554,0.967144293,1.007271113,0.975851357
0.555,0.967023967,1.007563983,0.975021147
0.556,0.967222194,1.008220284,0.974651558
0.557,0.967180176,1.008627704,0.974497459
0.558,0.967090172,1.008924084,0.976120799
0.559,0.966937291,1.009127025,0.976620113
0.56,0.966648906,1.009290716,0.976240594
0.561,0.966462662,1.009585354,0.974861918
0.562,0.96650102,1.009937811,0.974328845
0.563,0.966239973,1.010454127,0.974264918
0.564,0.965913577,1.010360482,0.974439127
0.565,0.965751867,1.010446322,0.975319625
0.566,0.965741183,1.010954136,0.975831282
0.567,0.965722197,1.010384512,0.9770758
0.568,0.965537768,1.010413473,0.978240258
0.569,0.965390126,1.010478136,0.977423153
0.57,0.965153033,1.010430754,0.97639041
0.571,0.964850068,1.010798422,0.976993259
0.572,0.964322292,1.01117907,0.977963145
0.573,0.964062081,1.011679673,0.979092592
0.574,0.963586655,1.011712126,0.980546417
0.575,0.963010572,1.012004434,0.981473518
0.576,0.962562064,1.012419009,0.981894338
0.577,0.962264865,1.012917672,0.982415997
0.578,0.961957083,1.013166229,0.981992399
0.579,0.961816388,1.013176894,0.981663044
0.58,0.961515823,1.013341584,0.980989824
